url,final_url,filename,content_type,size,sha256,group,manual_type,discovered_from,local_path,status
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_Adoption_EA_and_ROD_Trona_CA_R2511_Final_Adptn_EA_Signed-SMR_(03MAY2022)_signed.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_Adoption_EA_and_ROD_Trona_CA_R2511_Final_Adptn_EA_Signed-SMR_(03MAY2022)_signed.pdf,FAA_Adoption_EA_and_ROD_Trona_CA_R2511_Final_Adptn_EA_Signed-SMR_(03MAY2022)_signed.pdf,application/pdf,339135,3bf1d3b9c9d6a0bfc0ce4ce1b4b7b7b968499c1357175e648a80afbd0af408b6,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FAA_Adoption_EA_and_ROD_Trona_CA_R2511_Final_Adptn_EA_Signed-SMR_(03MAY2022)_signed.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Navy_Final_EA_for_Use_of_R2511_FEA_w_Appendices_(Sept_2021).pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Navy_Final_EA_for_Use_of_R2511_FEA_w_Appendices_(Sept_2021).pdf,Navy_Final_EA_for_Use_of_R2511_FEA_w_Appendices_(Sept_2021).pdf,application/pdf,5599175,556ffbf718197e12df518eff655d5a33f19fea53d095ace3738554b4a512d6f5,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Navy_Final_EA_for_Use_of_R2511_FEA_w_Appendices_(Sept_2021).pdf,ok
https://www.faa.gov/air_traffic/environmental_issues/FAA_Signed_Adoption_FONSI_ROD_Camp_Guernsey_R-7001D.pdf,https://www.faa.gov/air_traffic/environmental_issues/FAA_Signed_Adoption_FONSI_ROD_Camp_Guernsey_R-7001D.pdf,FAA_Signed_Adoption_FONSI_ROD_Camp_Guernsey_R-7001D.pdf,application/pdf,485548,da7d52f09914b00829d726628373047ebfe4e84fb8dd0b6aee64f2f8529fc3b4,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FAA_Signed_Adoption_FONSI_ROD_Camp_Guernsey_R-7001D.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/alaska_eis.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/alaska_eis.pdf,alaska_eis.pdf,application/pdf,494164,7d3aa96020b33a6db50113a722dea6e51d31edfb6e22355a9b554619cea993b6,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/alaska_eis.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/holloman_eis.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/holloman_eis.pdf,holloman_eis.pdf,application/pdf,1114343,c404aafa5a4428a964698b461db775e0e7500f7765b770ba5099efa0deb2dd87,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/holloman_eis.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/LRDR_Testing_Final_EA_clean.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/LRDR_Testing_Final_EA_clean.pdf,LRDR_Testing_Final_EA_clean.pdf,application/pdf,15167224,ec36cd9fb497102b505a2d08ee12a918100525cfa53a48924b5497fbc0292414,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/LRDR_Testing_Final_EA_clean.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FONSI-LRDR-Testing-MDA-AF-Final.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FONSI-LRDR-Testing-MDA-AF-Final.pdf,FONSI-LRDR-Testing-MDA-AF-Final.pdf,application/pdf,141777,009c43da7a472c7ffe06138f46e6afae930a3d74ee7ce92c269604dd306f2597,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FONSI-LRDR-Testing-MDA-AF-Final.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_Adoption_EA-FONSI-ROD_LRDR_Testing_Final.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_Adoption_EA-FONSI-ROD_LRDR_Testing_Final.pdf,FAA_Adoption_EA-FONSI-ROD_LRDR_Testing_Final.pdf,application/pdf,283476,9d83a84deb2b25672c3251a643016241d05d957823990105844dc41a34d85b41,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FAA_Adoption_EA-FONSI-ROD_LRDR_Testing_Final.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/JPARC-Final_Signed_WrttnRe-EvalAdptnEISR2201R2205MOA_mods_29JULY2019.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/JPARC-Final_Signed_WrttnRe-EvalAdptnEISR2201R2205MOA_mods_29JULY2019.pdf,JPARC-Final_Signed_WrttnRe-EvalAdptnEISR2201R2205MOA_mods_29JULY2019.pdf,application/pdf,4623470,e85d49bec30540cd9c21989cf5c43dad8bf80a669dcdd629eb23ef0fad8dcbf8,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/JPARC-Final_Signed_WrttnRe-EvalAdptnEISR2201R2205MOA_mods_29JULY2019.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_SIGNED_AdptnEA-USMC-PlayasTMOA_7JUN2019.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_SIGNED_AdptnEA-USMC-PlayasTMOA_7JUN2019.pdf,FAA_SIGNED_AdptnEA-USMC-PlayasTMOA_7JUN2019.pdf,application/pdf,544682,c099461b80721b50edb69ff0e08d6fb69074b38141d9b57f804456bc88490c13,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FAA_SIGNED_AdptnEA-USMC-PlayasTMOA_7JUN2019.pdf,ok
